text,img
"¡Usen un editor de código, como Visual Studio Code o NetBeans!",Image0_VSCode.png
¡Escuchen al profesor en clase!,Image1_Listen.png
Lean en línea– www.javatpoint.com es muy informativo.,Image2_Read.png
"Es probable que su código no funcionarán, pero no se preocupen– pueden pedir ayuda de su profesor.",Image3_Worry.png
Es posible que su editor falle— guarden sus archivos a menudo.,Image4_Save.png
Es necesario que escriban el código para mejorar.,Image5_Improve.png
Quiero que saquen buenas notas.,Image6_A+.png
Es bueno que hablen con sus compañeros sobre la tarea.,Image7_Talk.png
Espero que usen el tiempo después la clase para pedirle ayuda al profesor.,Image8_Help.png
Sería inteligente que lean el texto cada día antes de la clase.,Image9_ReadTextbook.png
"A lo mejor hay días en que estén enfermos— después, hablen con el profesor.",Image10_Sick.png
"En el examen, no habrá preguntas sobre lenguajes que no sean Java.",Image11_Java.png
"No habrá preguntas sobre conceptos que no sean enseñados en clase, tampoco.",Image12_Questions.png
Mantengan algunos archivos que aparezcan viejos o inútiles— es probable que los necesiten para el examen.,Image13_Trash.png
"Si tienen amigos que tomen la clase, no tengan miedo sobre pedirles ayuda.",Image14_FriendsHelp.png
Vuelvan la tarea a tiempo para que el profesor esté encantado.,Image15_Homework.png
Siempre etiqueten sus archivos de tarea a fin de que los recuerden después.,Image16_Tag.png
"Hagan los ejercicios de AP Classroom, a menos que ya sepan los conceptos.",Image17_AP.png
Hagan la tarea antes de que el profesor les des un examen.,Image18_Test.png
Deben crear sus propios programas para que aprendan más rápidamente.,Image19_Fast.png
